City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Ushuaia,AR,2022-12-28 04:00:47,-54.8,-68.3,40.66,75,75,26.46
1,Rikitea,PF,2022-12-28 04:00:47,-23.1203,-134.9692,78.22,73,24,10.27
2,Butaritari,KI,2022-12-28 04:00:48,3.0707,172.7902,80.04,82,67,15.66
3,San Patricio,US,2022-12-28 04:00:48,28.017,-97.5169,46.08,79,30,5.7
4,Chapais,CA,2022-12-28 03:55:49,49.7834,-74.8492,-9.62,100,65,3.67
5,Bethel,US,2022-12-28 04:00:49,41.3712,-73.414,32.94,69,24,2.82
6,Cape Town,ZA,2022-12-28 03:57:58,-33.9258,18.4232,65.12,81,0,2.3
7,Bredasdorp,ZA,2022-12-28 04:00:49,-34.5322,20.0403,65.14,83,80,3.33
8,Albany,US,2022-12-28 04:00:36,42.6001,-73.9662,26.02,77,58,2.77
9,Mackay,AU,2022-12-28 04:00:50,-21.15,149.2,86.68,61,73,16.11
10,Tasiilaq,GL,2022-12-28 04:00:50,65.6145,-37.6368,-0.24,48,0,4.07
11,Upernavik,GL,2022-12-28 04:00:50,72.7868,-56.1549,2.08,75,100,6.55
12,Castro,BR,2022-12-28 04:00:51,-24.7911,-50.0119,62.46,98,44,4.65
13,Conceição do Araguaia,BR,2022-12-28 03:57:29,-8.2578,-49.2647,71.71,98,100,1.48
14,Shubarkuduk,KZ,2022-12-28 04:00:52,49.1447,56.4872,12.63,96,100,4.9
15,Dingle,PH,2022-12-28 04:00:52,10.9995,122.6711,74.52,95,100,9.31
16,Rocha,UY,2022-12-28 03:56:37,-34.4833,-54.3333,62.38,71,100,8.55
17,Vanimo,PG,2022-12-28 04:00:52,-2.6741,141.3028,82.96,70,92,6.4
18,Cabo San Lucas,MX,2022-12-28 03:58:07,22.8909,-109.9124,71.51,72,0,3.58
19,Urk,NL,2022-12-28 04:00:53,52.6625,5.6014,46.98,96,100,27.51
20,Mount Isa,AU,2022-12-28 04:00:43,-20.7333,139.5,87.57,55,88,9.22
21,Port Alfred,ZA,2022-12-28 04:00:53,-33.5906,26.891,68.18,91,99,4.0
22,Puerto Ayora,EC,2022-12-28 04:00:54,-0.7393,-90.3518,72.55,94,94,3.0
23,New Norfolk,AU,2022-12-28 04:00:54,-42.7826,147.0587,74.7,47,62,14.79
24,Tiksi,RU,2022-12-28 04:00:54,71.6872,128.8694,-17.55,100,98,2.86
25,Bluff,NZ,2022-12-28 04:00:55,-46.6,168.3333,62.62,78,6,13.87
26,Kapaa,US,2022-12-28 04:00:55,22.0752,-159.319,76.98,88,6,8.25
27,Cherskiy,RU,2022-12-28 04:00:55,68.75,161.3,-10.12,99,100,3.04
28,Baoro,CF,2022-12-28 04:00:56,5.6667,15.9667,61.52,42,100,5.41
